"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Samsung Electronics Co Ltd","5.91","EQUITY","005930","Large Core","2009-09-30","80729","1716","Technology","168144177","2409000","21000|0.88%","2412000-2346000","126446","2566000-1456000","South Korea","7.35","61.21","22.08","15.12","367898944","KRW","3","33.3","13.62","-","-","-"
"Tencent Holdings Ltd","5.78","EQUITY","00700","Large Growth","2011-12-31","4588800","-507900","Technology","164623068","310.6","5.8|1.9%","311.2-305.4","5374420","311.2-179.6","China","25.48","61.59","33.43","46.27","2888615","HKD","3","61","54.01","-","-","-"
"Alibaba Group Holding Ltd ADR","5.2","EQUITY","BABA","-","2014-09-30","1050575","97300","Consumer Cyclical","148026018","157.56","3.41|2.21%","158.96-152.82","14442501","160.39-81.94","China","36.42","89.56","-","-","398526.62","USD","3","79.43","62.59","-","-","-"
"Taiwan Semiconductor Manufacturing Co Ltd","4.8","EQUITY","2330","Large Core","2008-09-30","19982574","5039000","Technology","136525207","213.5","0.5|0.23%","214.5-211.5","4974","218.5-171.5","Taiwan","13.11","24.65","23.79","24.43","5523171","TWD","2","21.21","15.58","-","-","-"
"AIA Group Ltd","2.53","EQUITY","01299","Large Core","2010-12-31","9858000","-1791600","Financial Services","72124672","60.1","0.6|1.01%","60.2-59.7","6614793","60.8-42.65","Hong Kong","11.68","23.05","14","18.44","717332","HKD","3","37.46","21.77","-","-","-"
"Jardine Strategic Holdings Ltd","2.22","EQUITY","J37","Large Core","2016-09-30","1515600","-77400","Industrials","63181446","40.71","-0.6|-1.45%","41.26-40.64","70800","43.78-29.75","Singapore","-2.27","39.36","5.16","6.48","45757.66","USD","-","25.03","8.85","-","-","-"
"CK Hutchison Holdings Ltd","2.21","EQUITY","00001","Large Value","2015-06-30","5014712","184000","Industrials","62932331","103.4","1.3|1.27%","103.5-102.1","1417781","103.9-87","Hong Kong","7.1","15.02","3.36","11.28","393868.97","HKD","4","18.37","11.94","-","-","-"
"PT Bank Central Asia Tbk","2.16","EQUITY","BBCA","Large Growth","2014-03-31","45086600","655000","Financial Services","61489967","-","-","-","-","-","-","5.92","31.72","18.51","19.56","463514176","IDR","-","22.13","22.49","-","-","-"
"HDFC Bank Ltd","2.11","EQUITY","HDFCBANK","Large Growth","2011-03-31","2337174","-43619","Financial Services","60168261","1778.5","-11.15|-0.62%","1786.5-1761.1","2313849","1798.8-1158","India","15.71","43.34","29.63","25.49","4527537","INR","-","48.36","28.87","-","-","-"
"HSBC Holdings PLC","2.06","EQUITY","HSBA","Large Value","2017-03-31","6307200","1037200","Financial Services","58596359","743.6","-10.4|-1.38%","751.1-740.93","23338903","758.4-482.05","United Kingdom","18.06","59.67","10.51","11.64","150144.64","GBX","2","16.93","325.03","-","0","-"
