"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"UnitedHealth Group Inc","5.79","EQUITY","UNH","Large Growth","2010-06-30","3417000","77300","Healthcare","633580140","191.15","2.22|1.17%","191.24-187.6","1925049","193-132.39","United States","9.73","35.73","32.07","30.21","182980.55","USD","2","20.3","24.48","-","-","-"
"Becton, Dickinson and Co","3.97","EQUITY","BDX","Large Growth","2013-09-30","2225238","41900","Healthcare","434166186","201.98","0.31|0.15%","203.19-200.49","1502867","206.63-161.29","United States","8.42","16.41","20.86","23","45920.29","USD","3","22.89","33.55","-","-","-"
"Intuitive Surgical Inc","3.61","EQUITY","ISRG","Large Growth","2007-09-30","421542","-2440","Healthcare","394297741","941.2","9.35|1%","943-927.06","487001","974.66-610.71","United States","12.6","36.39","26.47","13.53","34966.51","USD","2","48.41","45.03","-","-","-"
"Allergan PLC","3.08","EQUITY","AGN","Large Growth","2013-12-31","1385263","-7500","Healthcare","336743583","253.01","-1.15|-0.45%","254.99-251.71","1550066","256.8-184.5","United States","4.04","-0.45","5.78","26.11","84977.72","USD","4","21.14","-","-","-","-"
"Alexion Pharmaceuticals Inc","2.86","EQUITY","ALXN","Large Growth","2002-12-31","2573149","137000","Healthcare","313075039","137.99","4.07|3.04%","139.02-133.4","2475082","145.41-96.18","United States","7.99","5.82","-5.35","4.84","30797.33","USD","4","12.78","59.74","-","-","-"
"Cigna Corp","2.81","EQUITY","CI","Large Core","2014-12-31","1836883","-100400","Healthcare","307475845","173.97","1.9|1.1%","174.2-170.92","920279","175.8-115.03","United States","11.26","27.96","21.58","33.3","44538.86","USD","2","30.45","23.23","-","-","-"
"Humana Inc","2.63","EQUITY","HUM","Large Core","2012-12-31","1197302","-177100","Healthcare","288094807","233.08","0.48|0.21%","236.63-231.54","1590958","243.74-163.5","United States","5.18","36.15","21.83","27.64","33636.92","USD","1","14.77","23.59","-","-","-"
"Vertex Pharmaceuticals Inc","2.62","EQUITY","VRTX","Large Growth","2001-06-30","2224890","-233777","Healthcare","286721574","154.15","-2.04|-1.31%","157.2-153.58","1880425","167.85-71.46","United States","30.3","60.22","17.28","25.6","38393.95","USD","3","109.24","149.66","-","-","-"
"Incyte Corp","2.44","EQUITY","INCY","Large Growth","2004-12-31","2114928","-408000","Healthcare","266290584","135.74","3.02|2.28%","136.81-132.18","989763","153.15-75.52","United States","9.22","54.04","42.27","39.6","27796.08","USD","3","35.37","-","-","-","-"
"Agilent Technologies Inc","2.26","EQUITY","A","Mid Growth","2011-03-31","4159980","-101300","Healthcare","246728414","60.08","0.17|0.28%","60.23-59.61","1236390","61.84-42.92","United States","9.38","27.53","10.48","15.17","19305.95","USD","1","32.45","33.75","-","-","-"
"Stryker Corp","2.2","EQUITY","SYK","Large Growth","2016-03-31","1730219","146019","Healthcare","240119793","147.8","3.75|2.6%","147.91-144.85","1927066","148.15-106.48","United States","8.69","30.01","23.89","24.13","55242.47","USD","2","24.07","32.99","-","-","-"
"Thermo Fisher Scientific Inc","2","EQUITY","TMO","Large Growth","2008-12-31","1254399","-559500","Healthcare","218854994","175.97","0.7|0.4%","176.5-173.53","1326913","182.87-139.07","United States","6.53","11.18","12.64","26.11","68842.97","USD","3","24.93","32.05","-","-","-"
"Shire PLC ADR","1.96","EQUITY","SHPG","Large Value","2015-03-31","1299581","312600","Healthcare","214781752","168.29","-1.07|-0.63%","168.53-167.05","945940","209.22-158.54","United States","-4.9","-11.61","-12.16","13.55","50605.95","USD","4","-0.77","119.35","-","-","-"
"Centene Corp","1.96","EQUITY","CNC","Mid Core","2014-09-30","2688728","-15100","Healthcare","214775593","82.69","1.52|1.87%","83.23-81.3","1214917","87.94-50","United States","11.14","18.2","29.85","32.96","14262.01","USD","-","46.33","17.9","-","-","-"
"Regeneron Pharmaceuticals Inc","1.92","EQUITY","REGN","Large Growth","2007-06-30","428363","-199987","Healthcare","210386204","508.71","0.3|0.06%","513.42-499.04","620107","543.55-325.35","United States","30.95","23.76","18.96","30.02","54071.09","USD","3","38.58","61.51","-","-","-"
"Anthem Inc","1.89","EQUITY","ANTM","Large Value","2014-06-30","1097100","-59300","Healthcare","206397423","187.79","4.27|2.33%","188.34-182.33","1301064","194.94-114.85","United States","5.93","43.26","19.06","29.15","49310.78","USD","3","31.52","17.78","-","-","-"
"Biogen Inc","1.88","EQUITY","BIIB","Large Core","2008-03-31","758813","4900","Healthcare","205911496","287.44","-0.51|-0.18%","289.3-284","869157","307.33-244.28","United States","5.98","5.49","-3.22","15.32","60773.94","USD","4","7.52","18.86","-","-","-"
"Merck & Co Inc","1.87","EQUITY","MRK","Large Value","2016-06-30","3189600","242500","Healthcare","204421464","64.11","0.42|0.66%","64.36-63.22","13342135","66.8-57.18","United States","3.61","12.92","6.28","10.13","175351.39","USD","3","10.5","40.83","-","-","-"
"Aetna Inc","1.77","EQUITY","AET","Large Growth","2012-03-31","1272097","-123900","Healthcare","193142488","155.29","1.39|0.9%","155.62-153.44","1697272","157.55-104.59","United States","15.34","35.41","23.24","34.33","51509.69","USD","1","26.23","48.23","-","-","-"
"HCA Healthcare Inc","1.75","EQUITY","HCA","Large Core","2011-03-31","2199293","105600","Healthcare","191778350","80.44","0.48|0.6%","81.62-80.08","2461836","91.03-67","United States","-4.48","3.29","8.12","25.48","29513.81","USD","3","8.67","10.94","-","-","-"
"Tesaro Inc","1.67","EQUITY","TSRO","Mid Growth","2012-06-30","1308810","-547526","Healthcare","183050167","134.15","7.45|5.88%","134.64-126.93","691737","192.94-83.26","United States","-9.11","43.29","68.92","58.08","7225.96","USD","-","-0.25","-","-","-","-"
"Eli Lilly and Co","1.64","EQUITY","LLY","Large Growth","2014-09-30","2174880","-12500","Healthcare","178992624","83.1","0.08|0.1%","83.22-82.5","3820069","86.72-64.18","United States","1.9","2.69","12.04","15.97","91691.6","USD","3","14.4","35.97","-","-","-"
"Hologic Inc","1.4","EQUITY","HOLX","Mid Core","2016-03-31","3367400","175100","Healthcare","152812612","44.12","-0.32|-0.72%","44.74-43.82","2689152","46.8-35.15","United States","-2.28","15.29","19.46","18.86","12354.08","USD","3","9.97","15.87","-","-","-"
"Bristol-Myers Squibb Company","1.31","EQUITY","BMY","Large Core","2012-06-30","2576074","-175300","Healthcare","143538843","55.27","1.03|1.9%","55.59-53.94","9099547","76.3-46.01","United States","-0.7","-23.89","6.29","11.68","90638.73","USD","4","-3.42","20.17","-","-","-"
"AstraZeneca PLC ADR","1.31","EQUITY","AZN","Large Core","2016-12-31","4190200","223500","Healthcare","142843918","30.27","1.39|4.81%","30.37-29.32","13288362","35.6-25.55","United Kingdom","0.07","-7.64","-2.28","9.86","74184.31","USD","3","14.28","19.85","-","-","-"
"Gilead Sciences Inc","1.29","EQUITY","GILD","Large Core","1998-06-30","1988702","-440254","Healthcare","140760328","75.94","0.98|1.31%","76.03-74.75","8954646","82.1-63.76","United States","11.54","-4.09","-4.32","23.62","99177.64","USD","4","7.5","8.03","-","-","-"
"Neurocrine Biosciences Inc","1.24","EQUITY","NBIX","Small Growth","2000-12-31","2949328","1301100","Healthcare","135669088","49.46","0.63|1.29%","49.88-48.66","698273","55.38-37.35","United States","-7.38","-1.38","55.4","44.36","4356.19","USD","-","27.8","-","-","-","-"
"Puma Biotechnology Inc","1.21","EQUITY","PBYI","Small Core","2012-06-30","1518147","866966","Healthcare","132686048","97.6","0.95|0.98%","98.1-94.8","457944","98.85-28.35","United States","140.39","101.15","-21.01","50.84","3607.91","USD","-","217.92","-","-","-","-"
"Amgen Inc","1.11","EQUITY","AMGN","Large Value","2016-12-31","707200","-89100","Healthcare","121801056","174.54","2.39|1.39%","175.06-171.71","2463475","184.21-133.64","United States","7.57","4.41","14.73","17.64","127357.44","USD","3","20.95","15.9","-","-","-"
"Kite Pharma Inc","1.08","EQUITY","KITE","Mid Growth","2016-06-30","1137371","87500","Healthcare","117911252","111.43","2.55|2.34%","112.16-108.51","523522","114.69-39.82","United States","35.76","104.38","67.93","-","6300.92","USD","2","148.51","-","-","-","-"
"Medtronic PLC","1.05","EQUITY","MDT","Large Core","2015-03-31","1290900","-224500","Healthcare","114567375","84.29","-0.39|-0.46%","84.81-84.17","4550821","89.72-69.35","United States","2","-1.58","12.31","18.48","114552.36","USD","4","19.58","29.17","-","-","-"
"Alkermes PLC","1.01","EQUITY","ALKS","Mid Growth","2002-06-30","1903619","-11600","Healthcare","110352793","55.22","0.32|0.58%","55.39-54.54","1106557","63.4-41.93","United States","-5.2","14.73","7.78","23.11","8484.93","USD","-","-0.65","-","-","-","-"
"Danaher Corp","1","EQUITY","DHR","Large Core","2016-06-30","1297400","524300","Healthcare","109487586","81.43","0.27|0.33%","81.58-80.68","3018302","88.01-75.71","United States","-2.11","0.96","11.74","14.78","56568.6","USD","2","4.97","26.1","-","-","-"
