"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Nestle SA","2.84","EQUITY","NESN","Large Core","2007-09-30","5113548","-57175","Consumer Defensive","445991647","81.7","0.15|0.18%","81.95-80.85","5631932","86-71.45","Switzerland","6.59","8.81","8.63","9.21","253103.33","CHF","2","14.99","29.71","-","-","-"
"Bayer AG","2.44","EQUITY","BAYN","Large Core","2012-09-30","2959408","-195730","Healthcare","383569386","107.7","-0.75|-0.69%","107.7-106.45","2577718","123.9-86.03","Germany","-5.19","17.06","5.06","13.93","89062.28","EUR","4","11.37","20.48","-","-","-"
"Roche Holding AG Dividend Right Cert.","2.22","EQUITY","ROG","Large Core","2015-04-30","1363000","148466","Healthcare","348266735","242.5","-0.4|-0.16%","243.4-241.4","1728008","273-218.3","Switzerland","-6.84","2.12","0.16","10.79","207660.67","CHF","5","7.78","21.54","-","-","-"
"CK Hutchison Holdings Ltd","2.18","EQUITY","00001","Large Value","2015-06-30","27268072","-839500","Industrials","342201774","103.3","1.2|1.18%","103.5-102.1","1457281","103.9-87","Hong Kong","7.1","15.02","3.36","11.28","393868.97","HKD","4","18.37","11.94","-","-","-"
"The Priceline Group Inc","1.87","EQUITY","PCLN","Large Growth","2011-12-31","156820","-17000","Consumer Cyclical","293334946","2024.06","-1.03|-0.05%","2040.63-2007.97","505472","2043.95-1313.42","United States","9.6","52.63","17.77","24.23","99467.24","USD","3","38.06","45.7","-","-","-"
"Taiwan Semiconductor Manufacturing Co Ltd","1.82","EQUITY","2330","Large Core","2012-06-30","41778000","-1468000","Technology","285436206","214","1|0.47%","214.5-211.5","4995","218.5-171.5","Taiwan","13.11","24.65","23.79","24.43","5523171","TWD","2","21.21","15.58","-","-","-"
"AIA Group Ltd","1.81","EQUITY","01299","Large Core","2010-12-31","38758000","-2170400","Financial Services","283567462","60.05","0.55|0.92%","60.2-59.7","6653593","60.8-42.65","Hong Kong","11.68","23.05","14","18.44","717332","HKD","3","37.46","21.77","-","-","-"
"Tencent Holdings Ltd","1.66","EQUITY","00700","Large Growth","2014-10-31","7260900","-910800","Technology","260484578","311","6.2|2.03%","311.2-305.4","5564120","311.2-179.6","China","25.48","61.59","33.43","46.27","2888615","HKD","3","61","54.01","-","-","-"
"Shire PLC","1.64","EQUITY","SHP","Large Value","2015-03-31","4674639","1114713","Healthcare","257754804","4262.5","-88.5|-2.03%","4309-4229.67","2477652","5377-4025","United States","-6.05","-11.03","-4.39","17.76","38703.18","GBX","4","-8.56","118.92","-","-","-"
"Nippon Telegraph & Telephone Corp","1.51","EQUITY","9432","Large Value","2011-03-31","5007200","-248900","Communication Services","236360459","5394","12|0.22%","5407-5365","783400","5500-4156","Japan","12.85","12.91","19.49","26.76","10846708","JPY","3","10.79","13.77","-","-","-"
