"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Vail Resorts Inc","3.15","EQUITY","MTN","Mid Growth","2010-06-30","2787331","-3450","Consumer Cyclical","565354347","211.93","0.75|0.36%","213.29-210.45","161673","215.82-142.04","United States","7.75","50.42","42.4","35.21","8478.81","USD","-","32.69","42.99","-","-","-"
"SS&C Technologies Holdings Inc","2.31","EQUITY","SSNC","Mid Growth","2010-09-30","10769220","-14400","Technology","413645740","39.21","-0.07|-0.18%","40.21-39.15","1354453","40.21-28.43","United States","6.89","20.34","22.24","26.57","8105.19","USD","-","37.53","46.68","-","-","-"
"Waste Connections Inc","1.97","EQUITY","WCN","Mid Growth","2016-06-30","5473225","-7475","Industrials","352585154","80.87","-1.68|-2.04%","82.28-80.36","235183","88.94-63.11","United States","-3.26","25.11","-","-","21515.5","CAD","-","15.5","36.84","-","-","-"
"CBOE Holdings Inc","1.95","EQUITY","CBOE","Mid Growth","2014-12-31","3829842","221900","Financial Services","350047559","93.49","0.2|0.21%","94.15-93.12","551149","94.59-61.58","United States","13.75","38.26","25.06","28.08","10474.88","USD","-","27.2","51.09","-","-","-"
"Roper Technologies Inc","1.81","EQUITY","ROP","Large Growth","2002-06-30","1400551","-1849","Industrials","324269573","232.34","0.38|0.16%","232.62-228.83","474391","238.49-167.5","United States","6.4","38.18","16.73","19.19","23706.11","USD","2","27.48","35.85","-","-","-"
"Burlington Stores Inc","1.78","EQUITY","BURL","Mid Growth","2014-03-31","3474385","-306450","Consumer Defensive","319608676","85.78","-1.25|-1.44%","87.3-85.16","737260","104.07-68.94","United States","-13.28","11.84","38.06","-","5989.3","USD","-","1.22","26.64","-","-","-"
"Liberty Expedia Holdings Inc A","1.69","EQUITY","LEXEA","Small Growth","2016-12-31","5612218","-7600","Technology","303172016","57.67","1.67|2.98%","58.2-56","233251","58.2-35.96","United States","19.37","-","-","-","3292.39","USD","-","45.37","1.47","-","-","-"
"Liberty Ventures Group A","1.68","EQUITY","LVNTA","Mid Growth","2016-12-31","5776477","-7900","Technology","302051982","57.84","0.42|0.73%","57.95-56.91","323669","58.07-36.08","United States","7.41","51.49","11.34","-","4937.4","USD","-","56.88","5.56","-","-","-"
"CoStar Group Inc","1.65","EQUITY","CSGP","Mid Growth","2010-06-30","1124542","57231","Real Estate","296429271","274.21","-0.24|-0.09%","283.13-270.19","201648","284.47-179.21","United States","13.83","32.34","22.8","26.3","8999.73","USD","2","45.48","92.02","-","-","-"
"West Pharmaceutical Services Inc","1.65","EQUITY","WST","Mid Growth","2015-06-30","3125000","-4200","Healthcare","295375000","89.55","-2.71|-2.94%","92.5-88.76","790582","99.91-70.17","United States","-2.55","12.59","31.21","29.34","6586.73","USD","-","6.02","37","-","-","-"
"Lennox International Inc","1.63","EQUITY","LII","Mid Growth","2012-09-30","1595964","-101663","Industrials","293082829","171.02","-1.07|-0.62%","172.34-169.92","370663","192.58-140.97","United States","3.71","8.71","25.64","31.8","7213.91","USD","3","12.27","24.54","-","-","-"
"Shopify Inc A","1.43","EQUITY","SHOP","Mid Growth","2015-12-31","2946462","-476870","Technology","256047548","92.98","2.55|2.82%","93.42-88.29","1414022","100.8-32.85","United States","22.42","171.32","-","-","9120.81","USD","-","116.89","-","-","-","-"
"TransUnion","1.41","EQUITY","TRU","Mid Growth","2015-12-31","5823933","911800","Industrials","252234538","45.29","-0.28|-0.61%","45.92-45.13","860907","46.32-28.92","United States","13.14","37.91","-","-","8238.25","USD","-","46.43","39.04","-","-","-"
"Pricesmart Inc","1.36","EQUITY","PSMT","Small Growth","2011-12-31","2789705","133464","Consumer Defensive","244378158","84.05","-0.15|-0.18%","84.6-83.79","176331","94.4-75.8","United States","-3.34","8.56","1.93","3.45","2554.91","USD","-","1.08","27.38","-","-","-"
"GrubHub Inc","1.34","EQUITY","GRUB","Small Growth","2014-06-30","5505583","1793389","Technology","240043419","46.64","-0.35|-0.74%","47.35-46.49","994010","48.16-32.43","United States","8.52","22.25","7.05","-","4020.53","USD","2","23.98","70.67","-","-","-"
"Cable One Inc","1.31","EQUITY","CABO","Small Value","2016-06-30","330370","27976","Communication Services","234860033","758.22","6.04|0.8%","759.47-751.41","34059","759.47-506.42","United States","11.42","45.27","-","-","4340.27","USD","-","22.44","41.46","-","-","-"
"Service Corp International","1.28","EQUITY","SCI","Mid Core","2016-09-30","6886418","199754","Consumer Cyclical","230350682","34.89","-0.24|-0.68%","35.2-34.64","1655793","35.5-24.9","United States","8.69","26.69","21.51","23.29","6532.47","USD","-","23.77","18.96","-","-","-"
"Wix.com Ltd","1.23","EQUITY","WIX","Mid Growth","2014-06-30","3160371","-466400","Technology","219961822","63.9","-9.7|-13.18%","67.6-61","3823690","86.15-34.7","Israel","-22.5","77.94","54.91","-","2865.23","USD","-","43.43","-","-","-","-"
"O'Reilly Automotive Inc","1.23","EQUITY","ORLY","Mid Growth","1999-03-31","1004510","-321590","Consumer Cyclical","219726517","200.03","-1.28|-0.64%","201.77-198.01","1452730","291.91-169.43","United States","-19.39","-30.71","9.69","18.07","17602.43","USD","4","-28.15","18.23","-","-","-"
"Signature Bank","1.18","EQUITY","SBNY","Mid Growth","2004-03-31","1475662","126800","Financial Services","211801767","136.53","-0.28|-0.2%","137.16-135.69","331528","164.23-113.53","United States","-1.39","13.04","5.49","16.04","7455.96","USD","4","-9.1","17.33","-","-","-"
"RH","1.16","EQUITY","RH","Small Growth","2017-03-31","3216079","-834593","Consumer Cyclical","207501417","69.87","-1.63|-2.28%","72.75-69","1003288","79.91-24.41","United States","45.65","134.15","-6.23","-","1475.65","USD","2","127.59","188.84","-","-","-"
"Centene Corp","1.14","EQUITY","CNC","Mid Core","2015-06-30","2568661","-3300","Healthcare","205184641","82.69","1.52|1.87%","83.23-81.3","1214917","87.94-50","United States","11.14","18.2","29.85","32.96","14262.01","USD","-","46.33","17.9","-","-","-"
"Rollins Inc","1.14","EQUITY","ROL","Mid Growth","2016-03-31","5031473","-7000","Industrials","204831266","43.53","0.26|0.6%","43.64-43.26","358952","43.89-27.29","United States","12.4","58.38","32.25","23.5","9489.93","USD","-","29.54","51.82","-","-","-"
"Old Dominion Freight Lines Inc","1.12","EQUITY","ODFL","Mid Growth","2016-03-31","2118140","165940","Industrials","201731654","98.05","1.65|1.71%","98.4-96.42","512573","103.51-66.33","United States","10.88","41.06","16.11","28.21","8083.43","USD","1","14.52","26.94","-","-","-"
"Toro Co","1.12","EQUITY","TTC","Mid Growth","2011-06-30","2886100","-143800","Industrials","199977869","71.26","0.35|0.49%","71.33-70.74","385786","73-44.9","United States","10.04","55.37","34.06","31.25","7690.14","USD","-","27.99","31.67","-","-","-"
"Guidewire Software Inc","1.09","EQUITY","GWRE","Mid Growth","2013-03-31","2854900","367400","Technology","196160179","71.92","0.34|0.47%","72.53-71.18","248830","73.36-49.18","United States","16.96","16.7","22.6","22.7","5349.3","USD","3","45.79","513.71","-","-","-"
"The Ultimate Software Group Inc","1.08","EQUITY","ULTI","Mid Growth","2017-06-30","922604","922604","Technology","193802196","227.21","1.6|0.71%","230.08-223.04","287788","233.42-180.29","United States","12.11","7.85","20.17","19.46","6751.72","USD","-","24.6","224.96","-","-","-"
"Watsco Inc","1.08","EQUITY","WSO","Mid Growth","2016-09-30","1256114","-25639","Technology","193692779","150.06","-0.39|-0.26%","150.67-147.72","249701","159.55-128.6","United States","9.01","7.06","20.7","19.96","5358.21","USD","-","3.57","27.74","-","-","-"
"Proofpoint Inc","1.07","EQUITY","PFPT","Small Growth","2012-09-30","2207491","-3000","Technology","191676444","89.02","0.58|0.66%","92-88.42","1381311","94.33-68.04","United States","18.11","16.41","35.29","43.48","3946.88","USD","-","26","-","-","-","-"
"Black Knight Financial Services Inc A","1.05","EQUITY","BKFS","Mid Growth","2015-09-30","4593082","-6200","Technology","188086708","42.5","-0.45|-1.05%","43-42.2","223226","43.7-34","United States","2.66","9","-","-","6552.08","USD","-","12.43","68.05","-","-","-"
"MSCI Inc","1.04","EQUITY","MSCI","Mid Growth","2007-12-31","1813359","-316532","Financial Services","186757843","110.37","0.56|0.51%","110.58-108.62","305655","110.8-76.52","United States","10.3","31.4","34.19","27.53","9983.62","USD","2","40.81","38.06","-","-","-"
"Henry Schein Inc","1.04","EQUITY","HSIC","Mid Growth","1996-06-30","1019984","-1480","Healthcare","186677472","182.91","0.08|0.04%","183.47-181.78","319018","186.99-146.23","United States","5.24","2.02","15.62","18.54","14510.15","USD","2","20.57","27.8","-","-","-"
"CSRA Inc","1.04","EQUITY","CSRA","Mid Core","2016-12-31","5853315","931200","Technology","185842751","32.69","-0.14|-0.43%","32.8-32.58","538270","33.67-24.48","United States","12.76","22.51","-","-","5352.15","USD","3","3.3","17.77","-","-","-"
