"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Tencent Holdings Ltd","4.06","EQUITY","00700","Large Growth","2008-06-30","127652","11926","Technology","4579528","310.8","6|1.97%","311.2-305.4","5422020","311.2-179.6","China","25.48","61.59","33.43","46.27","2888615","HKD","3","61","54.01","-","-","-"
"Taiwan Semiconductor Manufacturing Co Ltd","2.07","EQUITY","2330","Large Core","2002-09-30","341471","33523","Technology","2333001","214","1|0.47%","214.5-211.5","4977","218.5-171.5","Taiwan","13.11","24.65","23.79","24.43","5523171","TWD","2","21.21","15.58","-","-","-"
"Naspers Ltd Class N","1.78","EQUITY","NPN","Large Growth","2008-12-31","10184","979","Technology","2005474","285023","-1242|-0.43%","285445-280595","715535","293997-192598","South Africa","12.28","27.47","29.85","44.55","1240287.5","ZAC","-","41.51","32.92","-","-","-"
"China Construction Bank Corp H","1.49","EQUITY","00939","Large Value","2005-12-31","2154907","220898","Financial Services","1675755","6.5","0.03|0.46%","6.53-6.48","36608876","6.71-5.18","China","7.43","28.83","8.3","10.7","1631191","HKD","3","13.73","6.02","-","-","-"
"Taiwan Semiconductor Manufacturing Co Ltd ADR","1.45","EQUITY","TSM","Large Core","2005-03-31","46673","5490","Technology","1631674","35.86","-0.32|-0.88%","36.07-35.7","3678436","36.92-27.66","Taiwan","11.94","31.55","23.83","23.74","182485.56","USD","2","28.76","15.88","-","-","-"
"Hon Hai Precision Industry Co Ltd","1.21","EQUITY","2317","Large Value","2001-12-31","355468","35943","Technology","1366415","117","-0.5|-0.43%","117.5-116.5","8213","122.5-76.3","Taiwan","23.48","54.87","16.9","19.79","2036126.75","TWD","-","44.89","13.76","-","-","-"
"China Mobile Ltd","1.19","EQUITY","00941","Large Value","2003-05-31","126652","13358","Communication Services","1342744","83.5","0.05|0.06%","83.7-83.2","2025096","99.3-80","China","2.1","-11.41","3.24","2.49","1708679","HKD","4","3.03","13.59","-","-","-"
"Msci Emerging Markets Futures Nyse-Liffe (9/30/2017)","1.16","EQUITY INDEX - FUTURE","-","-","-","26","26","-","1310118","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"Industrial And Commercial Bank Of China Ltd H","1.12","EQUITY","01398","Large Value","2007-09-30","1878047","319438","Financial Services","1267461","5.48","0.06|1.11%","5.5-5.42","70150908","5.5-4.37","China","11.96","28.39","5.99","10.29","2204008.75","HKD","3","22.31","6.09","-","-","-"
"Housing Development Finance Corp Ltd","0.83","EQUITY","HDFC","Large Growth","2003-05-31","37694","4027","Financial Services","941383","1785.35","57.15|3.31%","1799.2-1709.1","7936274","1799.2-1183.15","India","17.12","28.61","19.84","22.54","2841414.75","INR","-","42.83","26.32","-","-","-"
"Bank Of China Ltd H","0.8","EQUITY","03988","Large Value","2006-06-30","1829591","201022","Financial Services","897171","3.83","0.04|1.06%","3.84-3.8","70945663","4.08-3.18","China","5.63","23.67","6.19","10.98","1264351.38","HKD","3","15.76","6.07","-","-","-"
"Ping An Insurance (Group) Co. of China Ltd H","0.73","EQUITY","02318","Large Core","2004-09-30","124785","13077","Financial Services","822010","57.35","0.15|0.26%","57.6-57.1","4418369","59.6-36","China","32.04","57.36","21.93","14.78","1077227.12","HKD","3","49.05","13.67","-","-","-"
"Reliance Industries Ltd","0.72","EQUITY","RELIANCE","Large Core","2003-05-31","37879","4116","Energy","808158","1594.45","-0.35|-0.02%","1605.95-1578","3276023","1631.5-930","India","15.07","56.42","17.37","17.93","5184082","INR","-","48.32","14.79","-","-","-"
"Infosys Ltd","0.58","EQUITY","INFY","Large Core","2003-05-31","44862","4477","Technology","649364","997.35","26.3|2.71%","1003-962.3","5549214","1095-901","India","10.14","-5.05","8.27","15.33","2280765.75","INR","4","0.15","16.31","-","-","-"
