"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Dollarama Inc","0.39","EQUITY","DOL","Large Growth","2010-12-31","204209","14560","Consumer Defensive","19512290","122.8","-1.69|-1.36%","124.37-122.7","190690","132.34-93.27","Canada","2.85","27.58","40.28","31.4","13951.04","CAD","-","25.15","31.9","-","-","-"
"Open Text Corp","0.31","EQUITY","OTEX","Mid Growth","2009-07-31","487444","-7992","Technology","15384857","41.93","-0.65|-1.53%","42.51-41.85","238089","48.28-38.89","United States","-11.03","8.9","19.15","30.6","11066.4","CAD","-","1.93","7.89","-","-","-"
"CCL Industries Inc B- Non-Voting","0.27","EQUITY","CCL.B","Large Growth","2009-07-31","269081","-38339","Consumer Cyclical","13613822","59.59","-0.52|-0.87%","60.07-59.21","197838","71.32-43.33","Canada","-5.53","28.93","40.81","53.93","10519","CAD","-","13.38","30.68","-","-","-"
"Gildan Activewear Inc","0.27","EQUITY","GIL","Mid Growth","2009-07-31","437892","3744","Consumer Cyclical","13456197","37.49","-0.39|-1.03%","37.83-37.29","367301","42.18-30.97","Canada","-1.71","-2.04","5.32","22.36","8439.74","CAD","3","10.71","19.04","-","-","-"
"Onex Corp","0.25","EQUITY","ONEX","Large Growth","2009-07-31","155732","2048","Industrials","12466486","99.89","0.52|0.52%","100.23-99.37","65795","106.05-77.53","Canada","1.5","23.84","15.87","21.4","10200.6","CAD","-","9.55","-","-","-","-"
"Keyera Corp","0.23","EQUITY","KEY","Mid Growth","2011-12-31","358450","12640","Energy","11283104","39.01","-0.3|-0.76%","39.32-38.9","176875","43.21-36.92","Canada","4.37","8.97","1.53","15.66","7290.35","CAD","3","-1.24","29.55","-","-","-"
"First Quantum Minerals Ltd","0.22","EQUITY","FM","Mid Value","2016-03-31","1326955","19392","Basic Materials","11225090","13.46","-0.53|-3.79%","13.78-13.1","3183614","17.55-9.63","Canada","3.46","18.68","-20.18","-5.61","9279.05","CAD","2","0.86","-","-","-","-"
"Logitech International SA","0.2","EQUITY","LOGN","Mid Growth","2009-07-31","277890","10464","Technology","10225505","35.15","-0.2|-0.57%","35.2-34.5","1354321","39-24.7","United States","5.71","82.17","38.27","35.24","5757.54","CHF","-","38.39","27.78","-","-","-"
"Banco BPM SpA","0.2","EQUITY","BAMI","Mid Core","2016-09-30","2963408","115984","Financial Services","9952651","3.08","-0.05|-1.66%","3.13-3.07","12832811","3.2-1.77","Italy","15.28","26.25","-28.98","-8.57","2547.66","EUR","-","34.29","-","-","-","-"
"Seven Generations Energy Ltd","0.2","EQUITY","VII","Mid Growth","2015-06-30","579472","66147","Energy","9924486","22.21","-0.45|-1.99%","22.95-22.12","498899","32.9-20.36","Canada","-8.11","-17.74","-","-","7813.48","CAD","-","-29.06","-","-","-","-"
"Kinross Gold Corp","0.2","EQUITY","K","Mid Core","2015-03-31","2433070","94544","Basic Materials","9887630","5.24","0.06|1.16%","5.28-5.15","1634155","7.23-3.87","Canada","10.32","-20.97","5.44","-8.76","6533.23","CAD","4","25.06","-","-","-","-"
"Spirax-Sarco Engineering PLC","0.2","EQUITY","SPX","Mid Growth","2009-07-31","141561","5342","Industrials","9872905","5555","-45|-0.8%","5610-5505","132526","5815-3903","United Kingdom","6.83","41.16","27.17","23.81","4086.26","GBX","-","34.05","33.77","-","-","-"
"PrairieSky Royalty Ltd","0.19","EQUITY","PSK","-","2015-03-31","416080","15616","Energy","9474740","30.92","-0.21|-0.67%","31.5-30.79","306826","34.32-24.83","Canada","4.56","26.16","-6.91","-","7315.67","CAD","-","-1.84","83.57","-","-","-"
"H&R Real Estate Investment Trust","0.19","INCOME TRUST","HR.UN","Mid Value","2009-07-31","548057","16672","Real Estate","9306150","21.15","-0.05|-0.24%","21.3-21.14","400217","23.83-20.96","Canada","-7.19","-2.6","2.54","1.91","6088.73","CAD","-","-1.86","12.76","-","-","-"
"Industrial Alliance Insurance and Financial Services Inc","0.18","EQUITY","IAG","Mid Core","2009-07-31","208186","6871","Financial Services","9031882","57.41","0.53|0.93%","57.59-56.78","114402","59.41-39.26","Canada","0.3","36.53","7.9","23.45","6106.01","CAD","-","8.84","10.91","-","-","-"
"CAE Inc","0.18","EQUITY","CAE","Mid Growth","2009-07-31","522392","17792","Industrials","9007314","20.98","0.04|0.19%","21.03-20.74","802072","22.86-17.03","Canada","1.01","23.48","15.75","16.94","5644.81","CAD","-","12.57","22.56","-","-","-"
"Veresen Inc","0.17","EQUITY","VSN","Mid Growth","2011-12-31","615913","22896","Energy","8710552","18.25","-0.01|-0.05%","18.31-18.21","417878","18.76-10.76","Canada","21.47","76.6","3.04","12.85","5730.5","CAD","-","43.65","731.64","-","-","-"
"Hiscox Ltd","0.17","EQUITY","HSX","Mid Growth","2009-07-31","525574","-7628","Financial Services","8678084","1353","-","1353.09-1337","350187","1378-978","United Kingdom","21.2","30.48","22.99","19.6","3874.06","GBX","-","34.91","11.66","-","-","-"
"STADA Arzneimittel AG","0.17","EQUITY","SAZ","Mid Core","2009-07-31","121023","4347","Healthcare","8596402","65.61","0.01|0.02%","65.67-65.44","159889","66.5-41.41","Germany","0.89","37.5","28.37","21.91","4084.71","EUR","-","33.39","38.82","-","-","-"
"Ubisoft Entertainment","0.17","EQUITY","UBI","Mid Growth","2009-07-31","148562","5792","Technology","8434062","53.75","-1.2|-2.18%","54.44-53.2","415423","56.32-28.5","France","23.56","45.27","60.44","57.7","5815.22","EUR","1","59.02","58.42","-","-","-"
"WSP Global Inc","0.17","EQUITY","WSP","Mid Growth","2013-03-31","198717","7120","Industrials","8245652","50.62","0.07|0.14%","50.75-50.49","52188","55.04-38.54","Canada","2.54","31.78","14.77","21.73","5156.1","CAD","-","14.95","23.44","-","-","-"
"Rubis SCA","0.16","EQUITY","RU1","Mid Core","2009-07-31","72199","2560","Utilities","8189007","55.24","28.1|103.54%","56-53.32","141385","56-35.43","France","21.31","57.74","37.83","23.36","5165.72","EUR","-","44.47","23.81","-","-","-"
"Rheinmetall AG","0.16","EQUITY","RHM","Mid Core","2009-07-31","83067","2819","Industrials","7906636","85.12","-0.89|-1.03%","85.73-84.86","76432","90-60.14","Germany","2.75","38.67","23.29","17.94","3633.61","EUR","-","35.48","17.27","-","-","-"
"GN Store Nord A/S","0.16","EQUITY","GN","Mid Growth","2009-07-31","270037","-1253","Healthcare","7884808","190.1","-2.9|-1.5%","191.7-189.4","296591","208.6-123.5","Denmark","7.04","51.91","10.49","21.66","26332.64","DKK","-","30.72","25.79","-","-","-"
"Castellum AB","0.16","EQUITY - REIT","CAST","Mid Core","2014-05-31","530447","17744","Real Estate","7793042","125","-2.4|-1.88%","127.4-124.6","720374","136.9-112.3","Sweden","3.05","-0.78","9.89","12.58","34150.12","SEK","-","2.08","4.7","-","-","-"
"BBA Aviation PLC","0.16","EQUITY","BBA","Mid Core","2009-07-31","1943396","-13643","Industrials","7780132","297.8","-5.2|-1.72%","304.9-297.8","1230071","324.5-228.7","United Kingdom","-4.34","28.42","12.41","20.27","3072.6","GBX","-","7.61","-","-","-","-"
"freenet AG","0.16","EQUITY","FNTN","Mid Value","2009-07-31","242564","43230","Communication Services","7738437","28.7","-0.29|-1%","28.92-28.63","323418","32.37-23.88","Germany","5.19","20.98","20.21","24.88","3675.99","EUR","-","13.25","16.59","-","-","-"
"Fischer(Geo)-Reg","0.15","EQUITY","-","-","2011-09-30","7956","304","-","7717156","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"Phoenix Group Holdings","0.15","EQUITY","PHNX","Mid Value","2012-06-30","762068","27471","Financial Services","7695689","760","-5|-0.65%","763-754.5","374312","900.5-691","United Kingdom","2.84","20.05","15.35","19.45","2987.82","GBX","-","6.65","-","-","-","-"
"Spectris PLC","0.15","EQUITY","SXS","Mid Growth","2009-07-31","232608","8335","Technology","7647354","2470","-11|-0.44%","2478-2425","467473","2869-1811.36","United Kingdom","-9.28","33.58","10.97","11.56","2944.68","GBX","-","8.26","265.59","-","-","-"
"Methanex Corp","0.15","EQUITY","MX","Mid Core","2009-07-31","172496","217","Basic Materials","7615204","56.16","-0.21|-0.37%","57.38-55.05","394494","69.88-35.19","Canada","-9.84","57.04","-5.18","17.18","4860.6","CAD","-","-3.33","17.35","-","-","-"
"Algonquin Power & Utilities Corp","0.15","EQUITY","AQN","Mid Growth","2013-12-31","716923","24016","Utilities","7546267","13.4","0.09|0.68%","13.41-13.27","630494","14.35-10.47","Canada","4.87","14.89","22.92","18.29","5166.41","CAD","-","20.39","37.22","-","-","-"
"AltaGas Ltd","0.15","EQUITY","ALA","Mid Core","2010-12-31","326775","11840","Energy","7478934","28.71","-0.18|-0.62%","29.04-28.69","603574","35.55-28.69","Canada","-4.43","-5.89","-11.35","3.95","4906.52","CAD","-","-11.7","44.17","-","-","-"
"Aalberts Industries NV","0.15","EQUITY","AALB","Mid Growth","2009-07-31","186470","6128","Industrials","7420080","36.61","-0.4|-1.07%","36.99-36.51","436070","37.49-27.22","Netherlands","0.52","25.39","17.43","25.84","4048.34","EUR","-","20.67","20.8","-","-","-"
"Elior Group SA","0.15","EQUITY","ELIOR","Mid Growth","2014-12-31","253849","8448","Consumer Cyclical","7378058","22.45","0.2|0.9%","22.57-22.19","657201","26.06-17.9","France","-1.97","14.38","16.8","-","3877.38","EUR","-","5.29","27.36","-","-","-"
"Euronext NV","0.15","EQUITY","ENX","Mid Core","2014-12-31","140269","9696","Financial Services","7284874","48.7","1.19|2.5%","48.96-47.45","290942","49.5-33.1","France","11.32","31.03","42.29","-","3386.41","EUR","-","27.84","17.64","-","-","-"
"Playtech PLC","0.14","EQUITY","PTEC","Mid Growth","2013-03-31","570910","114700","Consumer Cyclical","7072108","957","-12|-1.24%","964.5-952.5","1084274","1018.7-757.5","United Kingdom","1.71","17.71","20.61","26.65","3036.99","GBX","-","18.09","18.2","-","-","-"
"Lundin Mining Corp","0.14","EQUITY","LUN","Mid Core","2009-07-31","1214556","7200","Basic Materials","6902589","8.69","0.2|2.36%","8.78-8.43","3241389","8.94-4.91","Canada","19.78","58.51","10.93","14.9","6315.86","CAD","-","36.72","20.99","-","-","-"
"UBM PLC","0.14","EQUITY","UBM","Mid Value","2016-09-30","767860","27283","Consumer Cyclical","6900624","705.5","-12|-1.67%","714.5-686","1682862","777.5-629.5","United Kingdom","-0.7","15.2","16.95","10.37","2779.8","GBX","-","-1.29","31.5","-","-","-"
"Bombardier Inc","0.14","EQUITY","BBD.B","Mid Core","2016-03-31","3771617","147984","Industrials","6863831","2.52","0.11|4.56%","2.57-2.5","15543577","2.76-1.56","Canada","19.43","26.63","-10.7","-5.18","5529.61","CAD","3","16.67","-","-","-","-"
