"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Samsung Electronics Co Ltd","2.95","EQUITY","005930","Large Core","2013-03-31","102355","-1879","Technology","213187232","2410000","22000|0.92%","2412000-2346000","254028","2566000-1456000","South Korea","8.34","59.29","22.9","13.95","367898944","KRW","3","34.52","13.62","-","-","-"
"Toyota Motor Corp","2.03","EQUITY","7203","Large Value","1993-05-31","2793507","-2100","Consumer Cyclical","146836508","6234","6|0.1%","6274-6216","7543700","7215-5492","Japan","3.3","9.33","3.75","18.68","18526574","JPY","3","-7.76","10.39","-","-","-"
"Commonwealth Bank of Australia","1.62","EQUITY","CBA","Large Core","2004-09-30","1846738","83913","Financial Services","117483245","83.73","-0.03|-0.04%","84.28-83.5","2217082","87.74-69.22","Australia","-4.2","16.02","6.86","14.42","144841.86","AUD","3","5.05","15.82","-","-","-"
"AIA Group Ltd","1.3","EQUITY","01299","Large Core","2010-12-31","12892245","606000","Financial Services","94324318","61.55","2.05|3.45%","61.55-59.7","34086314","61.55-42.65","Hong Kong","15.11","29.46","14.85","18.7","717332","HKD","3","41.69","21.77","-","0","-"
"Mitsubishi UFJ Financial Group Inc","1.29","EQUITY","8306","Large Value","2003-06-30","13872624","133500","Financial Services","93571522","700","-2.4|-0.34%","705.7-699.3","46416000","778.8-489.9","Japan","-1.3","37.55","6.99","15.5","9432733","JPY","4","-1.56","47.85","-","-","-"
"Westpac Banking Corp","1.16","EQUITY","WBC","Large Value","2003-05-31","3581652","158575","Financial Services","83861040","31.82","-0.08|-0.25%","32.07-31.69","4536091","35.39-28.56","Australia","-5.41","10.99","5.02","14.44","106288.81","AUD","3","1.73","14.35","-","-","-"
"SoftBank Group Corp","1.02","EQUITY","9984","Large Growth","1999-12-31","910070","31300","Communication Services","73979722","8958","-210|-2.29%","9246-8898","9068000","9521-5697","Japan","6.11","57.85","6.25","24.93","9986541","JPY","4","15.65","11.74","-","-","-"
"Australia and New Zealand Banking Group Ltd","0.96","EQUITY","ANZ","Large Core","2003-05-31","3133503","139381","Financial Services","69162075","29.63","-0.07|-0.24%","29.89-29.52","3525880","32.95-25.12","Australia","-6.07","23.51","2.89","12.09","86994.77","AUD","3","1.16","15.13","-","-","-"
"National Australia Bank Ltd","0.9","EQUITY","NAB","Large Value","2004-06-30","2853342","155923","Financial Services","64909465","29.95","-0.02|-0.07%","30.16-29.82","4013816","34.09-25.14","Australia","-7.75","23.51","4.7","12.96","80130.29","AUD","3","2.26","12.36","-","-","-"
"BHP Billiton Ltd","0.84","EQUITY","BHP","Large Core","2003-05-31","3428809","154670","Basic Materials","61115139","25.85","0.52|2.05%","26.05-25.64","8274611","27.95-19.09","Australia","8.98","37.68","-5.26","2.61","137585.16","AUD","2","6.18","43.57","-","-","-"
"Sumitomo Mitsui Financial Group Inc","0.77","EQUITY","8316","Large Value","2003-09-30","1424334","95400","Financial Services","55612358","4195","7|0.17%","4217-4171","4880800","4768-3126","Japan","1.72","31.35","2.85","14.28","5905192","JPY","3","-4.26","9.14","-","-","-"
"Honda Motor Co Ltd","0.72","EQUITY","7267","Large Value","1993-05-31","1899027","64600","Consumer Cyclical","52029698","3108","31|1.01%","3118-3066","4650800","3675-2693.5","Japan","-3.09","12.69","-2.58","6.72","5545617","JPY","3","-7.58","8.99","-","-","-"
"KDDI Corp","0.71","EQUITY","9433","Large Core","2005-06-30","1946500","48600","Communication Services","51480306","2920","-2|-0.07%","2943-2914.5","5587000","3378-2745.5","Japan","-1.2","-4.45","16.14","28.83","7149002","JPY","4","0.19","13.19","-","-","-"
"CSL Ltd","0.71","EQUITY","CSL","Large Growth","2004-03-31","484360","17290","Healthcare","51405281","126","0.06|0.05%","126.66-125.13","658909","145-91.62","Australia","-4.94","8.24","24.5","25.45","57180.11","AUD","3","26.32","34.86","-","-","-"
"Sony Corp","0.71","EQUITY","6758","Large Core","1993-05-31","1346044","61000","Technology","51343156","4540","7|0.15%","4567-4494","4624000","4616-2930","Japan","20.78","38.94","37.24","36.98","5723776","JPY","3","38.93","79.68","-","-","-"
"Mizuho Financial Group Inc","0.69","EQUITY","8411","Large Core","2003-09-30","27076141","1127900","Financial Services","49643393","196.4","-0.1|-0.05%","197.5-195.5","100368400","225.3-159.3","Japan","-3.54","22.02","2.8","12.22","4984481","JPY","3","-4.6","13.76","-","-","-"
"Japan Tobacco Inc","0.62","EQUITY","2914","Large Value","2003-05-31","1275459","51000","Consumer Defensive","44829968","3834","-61|-1.57%","3848-3806","6266600","4243-3607","Japan","5.34","-1.37","5.2","12.28","6975773.5","JPY","-","1.56","18.28","-","-","-"
"Keyence Corp","0.59","EQUITY","6861","Large Growth","2001-12-31","96254","2900","Technology","42373693","51020","-320|-0.62%","51530-50860","277500","52450-35075","Japan","13.88","40.14","31.4","39.22","6226320.5","JPY","-","27.42","-","-","-","-"
"Takeda Pharmaceutical Co Ltd","0.57","EQUITY","4502","Large Core","2002-09-30","814491","32800","Healthcare","41350874","5832","192|3.4%","5855-5729","4625700","5856-4321","Japan","9.17","31.04","9.94","13","4404451.5","JPY","2","22.48","38.56","-","-","-"
"Fanuc Corp","0.55","EQUITY","6954","Large Core","1990-06-30","207376","7600","Industrials","40136741","22565","-730|-3.13%","23270-22480","1485900","23670-16520","Japan","-0.4","32.53","10.22","14.85","4515558","JPY","2","14.93","35.37","-","-","-"
"Shin-Etsu Chemical Co Ltd","0.55","EQUITY","4063","Large Growth","2002-09-30","434555","13000","Basic Materials","39550102","10110","65|0.65%","10175-10080","1150300","10855-6592","Japan","4.4","44.82","16.63","21.74","4283014","JPY","-","12.16","24.33","-","-","-"
"Nintendo Co Ltd","0.53","EQUITY","7974","Large Growth","1999-12-31","114598","4400","Technology","38366455","37480","20|0.05%","37790-36930","2520700","39530-20100","Japan","33.64","76.28","49.15","34.45","4499982","JPY","4","54.48","43.87","-","-","-"
"East Japan Railway Co","0.52","EQUITY","9020","Large Core","1996-06-30","395685","13800","Industrials","37905131","10350","-95|-0.91%","10410-10275","1096600","11290-8388","Japan","3.98","10.49","8.84","16.83","4032478","JPY","3","3.12","14.63","-","-","-"
"Canon Inc","0.52","EQUITY","7751","Large Value","1993-05-31","1110317","38000","Industrials","37767784","3837","-13|-0.34%","3855-3836","3962300","3967-2808","Japan","5.84","35.84","8.2","11.43","4204462.5","JPY","2","18.73","21.73","-","-","-"
"Ckh Holdings","0.52","EQUITY","-","-","2015-03-31","3002091","134000","-","37674878","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"Wesfarmers Ltd","0.51","EQUITY","WES","Large Core","2014-12-31","1207800","54444","Consumer Defensive","37242719","40.73","0.2|0.49%","40.93-40.53","1756355","46.06-39.52","Australia","-5.28","1.46","3.83","10.54","46181.31","AUD","3","0.15","77.79","-","-","-"
"Nippon Telegraph & Telephone Corp","0.47","EQUITY","9432","Large Value","2003-09-30","721875","476100","Communication Services","34075462","5390","8|0.15%","5411-5365","2588200","5500-4156","Japan","13.02","12.89","18.52","26.45","10846708","JPY","3","10.95","13.77","-","-","-"
"Seven & i Holdings Co Ltd","0.47","EQUITY","3382","Large Growth","2005-09-30","822954","26400","Consumer Defensive","33958740","4445","-45|-1%","4515-4443","2658100","4902-4148","Japan","-5.63","5.39","2.72","14.11","3970969.5","JPY","3","0.83","45.57","-","-","-"
"Hkex","0.47","EQUITY","-","-","2014-03-31","1307397","68200","-","33775808","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"SK Hynix Inc","0.46","EQUITY","000660","Large Value","2013-03-31","566422","20404","Technology","33350768","66000","1400|2.17%","66000-63700","4769724","73000-32900","South Korea","22.22","93.6","14.04","25.44","45607716","KRW","-","47.65","11.12","-","-","-"
"NTT DOCOMO Inc","0.45","EQUITY","9437","Large Core","2002-09-30","1383200","57000","Communication Services","32713629","2563","2.5|0.1%","2578-2561","4891200","2836-2361","Japan","-4.65","-3.87","14.57","16.92","9485591","JPY","3","-2.25","14.95","-","-","-"
"Central Japan Railway Co","0.44","EQUITY","9022","Large Value","1999-12-31","193800","8700","Industrials","31650802","17750","40|0.23%","17830-17680","529500","19835-16305","Japan","-5","-6.95","7.12","23.12","3485312.25","JPY","3","-7.33","8.87","-","-","-"
"Tokio Marine Holdings Inc","0.43","EQUITY","8766","Large Value","2009-12-31","745190","28900","Financial Services","31009795","4645","11|0.24%","4681-4629","1713600","5441-3667","Japan","-1","18.44","15.11","23.12","3467992.5","JPY","-","-1.64","12.76","-","-","-"
"Panasonic Corp","0.43","EQUITY","6752","Large Core","1992-03-31","2273302","104200","Technology","30974332","1521","12.5|0.83%","1531.5-1497.5","7482700","1578-925.2","Japan","14.32","52.92","8.11","23.93","3486542.5","JPY","4","29.13","23.46","-","-","-"
"Murata Manufacturing Co Ltd","0.43","EQUITY","6981","Large Growth","2004-12-31","202379","9400","Technology","30896400","17180","-135|-0.78%","17480-17155","954300","17740-11830","Japan","14.95","35.67","21.49","35.4","3683563.5","JPY","3","10.48","23.59","-","-","-"
"Kao Corp","0.42","EQUITY","4452","Large Growth","2004-06-30","514177","11100","Consumer Defensive","30572112","6714","-89|-1.31%","6733-6633","2421700","7178-4888","Japan","10.08","22.74","18","27.35","3291715.5","JPY","3","22.14","26.09","-","-","-"
"Mitsubishi Electric Corp","0.42","EQUITY","6503","Large Core","1992-03-31","2106554","92300","Technology","30466256","1710.5","5.5|0.32%","1740-1686","11223300","1802-1148.5","Japan","10.07","42.71","9.19","23.83","3660257.75","JPY","-","6.08","17.39","-","-","-"
"Hitachi Ltd","0.42","EQUITY","6501","Large Value","1993-05-31","4938258","207000","Technology","30447778","759.6","38.5|5.34%","763.3-742","50632000","763.3-441.1","Japan","23.49","62.14","-0.5","11.84","3481472.75","JPY","-","21.3","14.68","-","-","-"
"Samsung Electronics Co Ltd Participating Preferred","0.42","EQUITY","005935","Large Core","2013-03-31","18572","653","Technology","30281611","1931000","11000|0.57%","1940000-1868000","37528","2056000-1171000","South Korea","10.55","55.93","23.36","20.28","367898944","KRW","-","35.73","10.95","-","-","-"
"Bridgestone Corp","0.4","EQUITY","5108","Large Core","1990-06-30","673950","19500","Consumer Cyclical","29135919","4657","-67|-1.42%","4700-4643","3746700","4936-3306","Japan","1.7","33.21","10.56","23.67","3619586.75","JPY","-","12.17","13.82","-","-","-"
"Daikin Industries Ltd","0.4","EQUITY","6367","Large Core","2002-09-30","283812","11400","Basic Materials","29116856","11700","-70|-0.59%","11785-11665","793700","12135-8316","Japan","8.08","31.27","18.8","41.4","3441253.5","JPY","1","9.64","22.36","-","-","-"
"Mitsubishi Corp","0.4","EQUITY","8058","Large Value","1992-03-31","1372134","59800","Industrials","28843657","2396.5","1|0.04%","2414-2383.5","4053000","2705.5-1730.5","Japan","-0.29","39.25","5.9","11.66","3795896.25","JPY","-","-1.75","8.64","-","-","-"
"DBS Group Holdings Ltd","0.4","EQUITY","D05","Large Value","2002-09-30","1900779","64600","Financial Services","28608202","21.62","-0.06|-0.28%","21.75-21.43","4839500","22.25-14.72","Singapore","13.28","44.19","8.7","10.73","55124.83","SGD","3","26.41","13.06","-","-","-"
"Ocbc Bank","0.38","EQUITY","-","-","2011-09-30","3486091","132100","-","27307758","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"Woolworths Ltd","0.37","EQUITY","WOW","Large Value","1999-03-31","1381182","67558","Consumer Defensive","27111400","26.7","0.19|0.72%","26.72-26.38","2578261","27.72-22.23","Australia","-0.67","18.14","-5.38","4.26","34560.92","AUD","2","12.8","12.78","-","-","-"
"Astellas Pharma Inc","0.37","EQUITY","4503","Large Growth","1992-03-31","2206470","68500","Healthcare","27044042","1408","25|1.81%","1410.5-1386.5","13556100","1779-1331.5","Japan","-4.09","-16.24","2.05","15.96","2738348.5","JPY","-","-12.23","13.36","-","-","-"
"Nidec Corp","0.35","EQUITY","6594","Large Growth","1999-12-31","249228","1500","Industrials","25605686","12160","35|0.29%","12315-12040","886800","12440-8590","Japan","18.98","29.78","22.29","32.25","3589930","JPY","4","21.02","32.19","-","-","-"
"Mitsui & Co Ltd","0.35","EQUITY","8031","Large Value","1993-05-31","1782500","60800","Energy","25517980","1605","1|0.06%","1612-1597.5","5494300","1753-1162","Japan","2.03","37.36","2.38","10.07","2876386.25","JPY","2","1.74","9.37","-","-","-"
"Komatsu Ltd","0.35","EQUITY","6301","Large Core","2002-09-30","974409","13600","Industrials","25010593","2964.5","11|0.37%","3005-2958.5","5303000","3029-1936","Japan","-0.25","49.67","10.77","13.01","2785101","JPY","2","13.07","24.59","-","-","-"
"Mitsui Fudosan Co Ltd","0.33","EQUITY","8801","Large Core","2002-09-30","1008780","38000","Real Estate","24168864","2534.5","-21.5|-0.84%","2558.5-2531","2529000","2863.5-2031.5","Japan","3.47","13.98","-8.7","11.82","2525672.25","JPY","3","-5.64","19.17","-","-","-"
"Daiwa House Industry Co Ltd","0.33","EQUITY","1925","Large Growth","1990-06-30","691505","33300","Real Estate","23667159","3849","-20|-0.52%","3872-3845","1108600","3918-2500.5","Japan","16.25","35.94","24.57","30.12","2567264.25","JPY","-","22.06","12.72","-","-","-"
"Mitsubishi Estate Co Ltd","0.33","EQUITY","8802","Large Core","2002-03-31","1258482","54500","Real Estate","23524553","2006","-36.5|-1.79%","2031-2003.5","3642800","2443-1806","Japan","-5.82","5.03","-6.9","7.93","2834792","JPY","3","-13.34","27.61","-","-","-"
"Cheung Kong Property Holdings Ltd","0.31","EQUITY","01113","Large Value","2015-11-30","2906091","95000","Real Estate","22740981","63.25","0.45|0.72%","63.25-62.6","6023783","63.25-46.5","Hong Kong","15.14","16.66","-","-","238652.22","HKD","3","35.12","12.44","-","-","-"
"Tokyo Electron Ltd","0.31","EQUITY","8035","Large Core","1992-03-31","167113","6800","Technology","22592502","15575","-130|-0.83%","15900-15455","1712200","17000-8037","Japan","20.13","76.4","34.2","34.87","2576812.25","JPY","2","43.04","22.42","-","-","-"
"United Overseas Bank Ltd","0.31","EQUITY","U11","Large Value","2004-06-30","1343867","92900","Financial Services","22561701","23.99","-0.06|-0.25%","24.2-23.99","2466500","24.6-17.51","Singapore","10.05","35.66","2.92","6.8","39358.93","SGD","3","19.31","12.85","-","-","-"
