"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Vanguard REIT ETF","3.28","MUTUAL FUND - ETF","VNQ","-","-","2100000","300000","-","174783000","83.75","-0.06|-0.07%","83.97-83.35","2973097","92.92-76.98","United States","-0.96","-3.47","7.53","9.28","-","USD","4","3.34","-","-","-","-"
"MKS Instruments Inc","0.49","EQUITY","MKSI","Small Growth","2006-12-31","387786","14800","Technology","26097998","79.45","-0.9|-1.12%","80.2-79.1","257688","88.4-44.82","United States","14.22","71.99","37.84","26.03","4347.6","USD","-","35.86","28.8","-","-","-"
"Spire Inc","0.48","EQUITY","SR","Small Value","2000-03-31","367964","0","Utilities","25665489","72","0.55|0.77%","72.7-71.65","172873","72.82-59.54","United States","4.01","7.29","16.91","14.52","3448.08","USD","-","12.32","22.4","-","-","-"
"ALLETE Inc","0.47","EQUITY","ALE","Small Value","2004-09-30","349333","0","Utilities","25040189","73.45","0.7|0.96%","73.53-72.51","251512","74.59-56.48","United States","5.98","17.95","17.33","14.51","3701.75","USD","-","15","22.88","-","-","-"
"Healthcare Services Group Inc","0.46","EQUITY","HCSG","Small Growth","2005-06-30","523591","0","Industrials","24519767","53.72","0.77|1.45%","53.87-52.86","457029","53.87-34.83","United States","16","40.23","25.87","20.34","3864.77","USD","-","36.13","48.58","-","-","-"
"Chemed Corp","0.45","EQUITY","CHE","Small Growth","2004-06-30","116451","0","Healthcare","23817723","203.43","0.09|0.04%","205.69-202.35","102719","216.01-130.05","United States","9.94","43.51","28.21","26.95","3270.15","USD","-","27.09","29.86","-","-","-"
"Lumentum Holdings Inc","0.44","EQUITY","LITE","Small Growth","2015-08-31","413077","2900","Technology","23566043","63.35","2.9|4.8%","64.25-60.35","1947443","67.3-26.51","United States","37.7","122.32","-","-","3696.51","USD","2","56.4","-","-","-","-"
"ProAssurance Corp","0.44","EQUITY","PRA","Small Core","2004-06-30","385834","0","Financial Services","23458707","60.35","-0.25|-0.41%","60.7-60.15","69850","63.53-50.5","United States","0.68","28.56","17.43","11.02","3235.82","USD","-","8.93","18.7","-","-","-"
"Integra Lifesciences Holdings Corp","0.43","EQUITY","IART","Small Growth","2003-03-31","420770","0","Healthcare","22936173","55.04","-0.66|-1.18%","56.42-54.93","678016","56.42-37.71","United States","31.09","39.18","35.28","25.3","4212.08","USD","-","29.85","66.31","-","-","-"
"Sterling Bancorp","0.42","EQUITY","STL","Small Core","2013-11-30","966391","0","Financial Services","22468591","22.45","-0.3|-1.32%","22.95-22.35","695418","25.85-16.43","United States","-2.69","38.07","25.2","26.49","3084.75","USD","-","-2.18","19.28","-","-","-"
