"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Novartis AG","1.93","EQUITY","NOVN","Large Core","2003-09-30","2225606","-444031","Healthcare","165268081","82.6","0.95|1.16%","82.7-81.75","1353323","84.35-67.4","Switzerland","6.66","5.11","4.15","10.69","191297.78","CHF","4","13.9","31.32","-","-","-"
"Royal Dutch Shell PLC Class A","1.9","EQUITY","RDSA","Large Value","2006-12-31","6201283","379344","Energy","163330507","2140.5","25|1.18%","2143-2121","2657039","2295.5-1791","United Kingdom","7.5","14.07","1.44","5.06","175257.17","GBX","-","-2.28","28.31","-","-","-"
"Baidu Inc ADR","1.71","EQUITY","BIDU","-","2017-03-31","848100","848100","Technology","146314212","220","19|9.45%","225.6-208.8","12591474","225.6-156.23","China","22.07","32.83","-0.86","12.2","76312.23","USD","3","33.81","41.37","-","-","-"
"Taiwan Semiconductor Manufacturing Co Ltd","1.69","EQUITY","2330","Large Core","2009-06-30","23073704","372000","Technology","144686727","214.5","1.5|0.7%","214.5-211.5","19993","218.5-171.5","Taiwan","13.88","28.41","24.23","24.06","5523171","TWD","2","22.04","15.58","-","-","-"
"Total SA","1.6","EQUITY","FP","Large Value","2002-06-30","2715831","32053","Energy","137322089","43.3","0.31|0.72%","43.36-43.01","1524782","49.5-40.53","France","-7.55","6.96","-0.95","8.06","105039.61","EUR","3","-9.24","17.33","-","-","-"
"SoftBank Group Corp","1.56","EQUITY","9984","Large Growth","2014-06-30","1888300","11900","Communication Services","133909061","8958","-210|-2.29%","9246-8898","9068000","9521-5697","Japan","6.11","57.85","6.25","24.93","9986541","JPY","4","15.65","11.74","-","-","-"
"Sumitomo Mitsui Financial Group Inc","1.56","EQUITY","8316","Large Value","2011-09-30","3678600","23000","Financial Services","133896511","4195","7|0.17%","4217-4171","4880800","4768-3126","Japan","1.72","31.35","2.85","14.28","5905192","JPY","3","-4.26","9.14","-","-","-"
"Prudential PLC","1.52","EQUITY","PRU","Large Value","2007-09-30","6178752","-650855","Financial Services","130517004","1831","21.5|1.19%","1834.5-1810","1017845","1844-1290","United Kingdom","5.45","41.72","11.54","21.14","46704.31","GBX","2","13.06","24.13","-","-","-"
"DBS Group Holdings Ltd","1.44","EQUITY","D05","Large Value","1999-12-31","8914100","3096500","Financial Services","123477206","21.62","-0.06|-0.28%","21.75-21.43","4839500","22.25-14.72","Singapore","13.7","44.71","8.82","10.8","55124.83","SGD","3","26.87","13.06","-","-","-"
"Roche Holding AG Dividend Right Cert.","1.37","EQUITY","ROG","Large Core","2014-03-31","457969","150282","Healthcare","117118109","245.5","3|1.24%","246.1-242","712976","273-218.3","Switzerland","-6.84","2.12","0.16","10.79","207660.67","CHF","5","7.78","21.54","-","-","-"
"Galaxy Entertainment Group Ltd","1.2","EQUITY","00027","Large Growth","2016-03-31","18827000","0","Consumer Cyclical","103118427","48.35","0.4|0.83%","48.5-47.75","9042964","49.2-24.9","Hong Kong","11.32","88.53","-9.02","21.91","204826.75","HKD","2","43.37","32.8","-","-","-"
"Carnival PLC","1.19","EQUITY","CCL","Large Growth","2012-06-30","1779082","0","Consumer Cyclical","101974036","5115","40|0.79%","5125-5050","81392","5285-3298","United Kingdom","7.14","43.22","35.87","20.9","36542.27","GBX","3","24.47","17.79","-","-","-"
"Nidec Corp","1.17","EQUITY","6594","Large Growth","2016-09-30","1049000","256400","Industrials","100184309","12160","35|0.29%","12315-12040","886800","12440-8590","Japan","18.98","29.78","22.29","32.25","3589930","JPY","4","21.02","32.19","-","-","-"
"Sanofi SA","1.13","EQUITY","SAN","Large Core","2016-06-30","1073339","271115","Healthcare","97025080","82.7","1.11|1.36%","83.4-82.4","745810","92.97-66.72","France","-2.38","10.83","5.77","8.02","105416.1","EUR","4","9.95","24.06","-","-","-"
"OMRON Corp","1.12","EQUITY","6645","Large Growth","2010-12-31","2189200","0","Technology","96190888","5510","-20|-0.36%","5570-5470","877200","5680-3240","Japan","18.11","62.15","7.24","29.8","1182343.5","JPY","-","23.61","25.71","-","-","-"
"Panasonic Corp","1.11","EQUITY","6752","Large Core","2010-06-30","8435300","0","Technology","95464071","1521","12.5|0.83%","1531.5-1497.5","7482700","1578-925.2","Japan","14.32","52.92","8.11","23.93","3486542.5","JPY","4","29.13","23.46","-","-","-"
"Tencent Holdings Ltd","1.08","EQUITY","00700","Large Growth","2016-06-30","3216100","1205800","Technology","92654300","313.4","8.6|2.82%","314.4-305.4","21609121","314.4-179.6","China","28.68","67.94","34.73","46.65","2888615","HKD","3","65.11","54.01","-","-","-"
"British American Tobacco PLC","1.08","EQUITY","BATS","Large Growth","2004-06-30","1395133","22494","Consumer Defensive","92562524","4762","-198|-3.99%","4975-4736","4126933","5643.6-2879.89","United Kingdom","-4.89","7.25","15.26","11.21","113757.89","GBX","2","9.88","21.83","-","-","-"
"Nippon Telegraph & Telephone Corp","1.07","EQUITY","9432","Large Value","2015-03-31","2141800","0","Communication Services","91569063","5390","8|0.15%","5411-5365","2588200","5500-4156","Japan","13.02","12.89","18.52","26.45","10846708","JPY","3","10.95","13.77","-","-","-"
"BNP Paribas","1.04","EQUITY","BNP","Large Value","2003-05-31","1340391","0","Financial Services","89195337","65.93","-0.17|-0.26%","66.4-65.73","1202667","68.4-41.36","France","2.67","55.2","10.56","17.48","82469.27","EUR","3","9.85","10.93","-","-","-"
"Adecco Group AG","1.01","EQUITY","ADEN","Large Core","2016-06-30","1221508","0","Industrials","86732456","73.85","0.85|1.16%","73.85-72.9","456357","77.9-51.5","Switzerland","-1.22","41.37","4.37","14.6","12435.32","CHF","3","11.78","14.8","-","-","-"
"Anheuser-Busch InBev SA/NV","1.01","EQUITY","ABI","Large Growth","2016-12-31","790159","12740","Consumer Defensive","86582139","102.9","-0.45|-0.44%","103.5-102.7","388434","119.6-92.13","Belgium","1.89","-2.99","11.63","12.38","199827.22","EUR","3","4.77","62.48","-","-","-"
"AstraZeneca PLC","1","EQUITY","AZN","Large Core","2013-12-31","1396938","0","Healthcare","85894476","4557","75.5|1.68%","4625.7-4526.5","1864718","5520-3996","United Kingdom","-3.36","-6.5","5.13","12.99","56735.79","GBX","4","4.38","19.27","-","-","-"
"Weatherford International PLC","0.99","EQUITY","WFT","Small Core","2012-09-30","12813002","0","Energy","85206463","4.27","-0.11|-2.51%","4.72-4.26","23636968","7.09-3.39","United States","-26","-25.35","-43.64","-19.47","4209.15","USD","3","-14.43","-","-","-","-"
"East Japan Railway Co","0.96","EQUITY","9020","Large Core","2014-03-31","941200","0","Industrials","82187014","10350","-95|-0.91%","10410-10275","1096600","11290-8388","Japan","3.98","10.49","8.84","16.83","4032478","JPY","3","3.12","14.63","-","-","-"
"SAP SE","0.95","EQUITY","SAP","Large Growth","2016-09-30","833743","133743","Technology","81797093","90.17","-0.13|-0.14%","90.5-89.77","550951","96.38-75.07","Germany","-0.56","17","16.18","12.87","108235.73","EUR","2","10.55","31.46","-","-","-"
"BP PLC ADR","0.95","EQUITY","BP","Large Value","2013-12-31","2362200","41527","Energy","81543144","35.16","0.17|0.49%","35.17-34.62","5427552","38.68-32.5","United Kingdom","4.2","10.49","-5.79","2.37","115234.13","USD","3","-2.74","52.6","-","-","-"
"Shire PLC","0.9","EQUITY","SHP","Large Value","2014-12-31","1324249","142851","Healthcare","77160948","4298.5","36|0.84%","4310-4261.5","394633","5377-4025","United States","-6.05","-11.03","-4.39","17.76","38703.18","GBX","4","-8.56","118.92","-","-","-"
"Daiwa House Industry Co Ltd","0.9","EQUITY","1925","Large Growth","2013-06-30","2680900","43200","Real Estate","77059688","3849","-20|-0.52%","3872-3845","1108600","3918-2500.5","Japan","16.25","35.94","24.57","30.12","2567264.25","JPY","-","22.06","12.72","-","-","-"
